Code,Title,Time,Professor
LAW 1711 v00,Separation of Powers Seminar: Hot Topics in Scholarship,T 3:30-5:30p,J. Chafetz
LAW 1353 v00,"Sexual Orientation, Gender Identity, Sex Characteristics and International Human Rights Law (Fieldwork Practicum)",M 1:20-3:20p,F. Gomez-Lugo
LAW 1173 v00,Social Enterprise and Nonprofit Law Clinic,MW 11:10a-1:10p,Team
LAW 406 v00,Space Law Seminar,,
LAW 947 v00,Special Topics in Exempt Organizations,,
LAW 1729 v00,Special Topics in Litigation: Representing Foreign Clients in U.S. Courts,M 5:45-7:45p,Team
LAW 775 v01,Special Topics in State and Local Taxation,,
LAW 4001 v00,State Cyber Operations and Responses,,
LAW 1398 v00,Street Law: Mock Trial Advocacy (Project-Based Practicum),,
LAW 401 v00,Structuring Private Equity Funds and Transactions,,
LAW 1174 v00,Supreme Court Institute Judicial Clerkship Practicum (Project-Based Practicum),No Meeting Time Defined,D. Shrager
LAW 469 v00,Supreme Court Litigation Seminar,Th 2:45-5:30p; F 1:00-5:30p,D. Ayer
LAW 1738 v00,Supreme Court Today,W 1:20-3:20p,Dreeben/Datla
LAW 3017 v00,Survey of Employee Benefits Law,,
LAW 2072 v00,Survey of State and Local Taxation,,
LAW 3147 v00,Sustainability for Big Law and Big Business,,
LAW 2097 v00,"Takeovers, Mergers, and Acquisitions",,
LAW 2012 v00,Tax Court Advocacy Workshop,,
LAW 1276 v01,Tax Law and Public Finance Workshop,,
LAW 784 v00,Tax Planning for Corporate Acquisitions Seminar,,
LAW 856 v00,Tax Practice and Procedure (Administrative Practice),Th 7:55-9:55p,Clukey/Curran
LAW 858 v00,Tax Practice and Procedure (Litigation),,
LAW 809 v02,Tax Research and Writing,,
LAW 846 v00,Tax Treaties,,
LAW 1842 v00,Taxation of Bankruptcies & Workouts,,
LAW 945 v00,Taxation of Energy Markets,,
LAW 2069 v00,Taxation of Financial Instruments and Transactions,,
LAW 362 v03,Taxation of Partnerships,,
LAW 942 v00,Taxation of Partnerships,,
LAW 1496 v00,Tech Law Scholars Seminar I,F 11:10a-1:10p,M. Dwyer
LAW 1516 v00,Tech Law Scholars Seminar II,F 1:20-3:20p,M. Dwyer
LAW 1862 v00,Technology Law and Policy Colloquium: Content and Platforms,,
LAW 1824 v00,Technology Platform Governance in Global Perspective Seminar,,
LAW 008 v01,Torts,,
LAW 433 v00,Trademark and Unfair Competition Law,,
LAW 433 v01,Trademark and Unfair Competition Law,,
LAW 1866 v00,Transnational Law and Practice,MW 11:10a-12:35p,G. Shaffer
LAW 1759 v00,Trial Practice,FSaSu 9:00a-5:00p; F 9:00a-4:30p; Sa 9:00a-4:00p; Su 8:00a-4:00p,T. Heiden
LAW 351 v01,Trial Practice,,
LAW 351 v07,Trial Practice,W 5:45-7:45p,Bradford/Pasichow
LAW 351 v08,Trial Practice,W 5:45-7:45p,A. Belcuore
LAW 351 v13,Trial Practice,M 3:30-5:30p,A. Casper
LAW 1245 v00,Trial Practice and Applied Evidence,T 5:45-8:50p,C. Iscoe
LAW 1245 v01,Trial Practice and Applied Evidence,Th 5:45-8:50p,Greenberg/Smith
LAW 2039 v00,U.S. Criminal Procedure,,
LAW 3050 v00,U.S. Employment Taxes,,
LAW 962 v00,U.S. Export Controls and Economic Sanctions,,
LAW 844 v06,U.S. Legal Research Analysis & Writing,,
LAW 1883 v00,Water Law in an Era of Climate Change,,
LAW 610 v00,Week One Teaching Fellows,,
LAW 2087 v00,White Collar Crime and Securities Fraud,,
LAW 1686 v00,White Collar Criminal Practice: International Scandal Investigations,MTWTh 1:30-5:30p,DeLaurentis/Coleman
LAW 1687 v00,White Collar Criminal Practice: International Scandal Investigations (Week One Teaching Fellows),MTWTh 1:30-5:30p,DeLaurentis/Coleman
LAW 1827 v00,Wildlife and Ecosystems Law,,
LAW 191 v02,Workers Rights & Globalization Seminar,,
LAW 611 v04,World Health Assembly Simulation: Negotiation Regarding Climate Change Impacts on Health,MTWTh 1:30-5:30p,Team
LAW 872 v00,"World Trade Organization: Agreements, Negotiations & Disputes",,
LAW 1622 v00,Wrongful Convictions,,
