"professor","Course.Name","Survey.Period","Svy.Rcv","Exp","X.","I.would.recommend.this.professor.to.other.students","When.I.sought.consultation.about.this.course..the.professor.was.available.outside.of.class.time","I.received.adequate.supervision.over.my.work.on.the.project","I.received.my.placement.in.a.timely.fashion","I.received.the.project.in.a.timely.fashion","In.the.course.of.working.on.my.clinic.projects..I.received.thorough.and.useful.supervision","My.experience.at.the.field.placement.was.positive","My.experience.in.the.field.work.component.enhanced.my.understanding.and.the.insights.I.gained.in.the","The.class.covered.meaningful.and.worthwhile.subject.matter.","The.class.improved.my.lawyering.skills","The.clinic.has.improved.my.ability.to.function.as.a.lawyer","The.clinic.projects.and.classroom.components.of.the.course.were.integrated.effectively","The.professor.adjusted.the.class.for.the.online.distance.learning.format","The.professor.s.feedback.on.my.project.work.was.helpful.in.revising.my.work","The.project.was.well.defined","The.readings.were.useful.and.well.integrated.into.the.course.and.or.provided.helpful.background.for","The.seminar.classes.enhanced.the.field.work.component","How.well.has.the.professor.adjusted.the.class.for.the.online.environment.","I.had.a.helpful.personal.consultation.with.the.professor.about.my.draft.paper","I.received.helpful.guidance.regarding.research.strategy.from.the.professor.and.or.from.a.guest.lectu","The.professor.adjusted.the.class.for.the.online.environment.","The.professor.challenged.students.to.think.critically","The.professor.created.a.learning.environment.that.was.hospitable.to.all.students","The.professor.provided.detailed.written.feedback.on.my.preliminary.draft.s..of.the.paper","The.professor.provided.timely.and.useful.comments.on.my.outline.or.other.preparatory.written.product","The.professor.taught.the.course.well","The.professor.s.feedback.on.the.preliminary.draft.s..was.will.be.helpful.in.revising.my.paper","n_courses"
"Clarke, Adrianne","Externship I Seminar",202170,12.5,15,83,4.9,5,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,2.85,NA,NA,NA,NA,NA,4.55,5,NA,NA,4.95,NA,2
"Clement, Paul","Separation of Powers Seminar",202030,9.4,22,42.2,4.66,4.22,NA,NA,NA,NA,NA,NA,4.84,NA,NA,NA,NA,NA,NA,4.24,NA,NA,4.06,3.96,NA,4.8,4.76,4.2,4.56,4.64,4.32,5
"Clouser, David","US Legal Res. Anlsys & Writing",202020,9.25,11,84.25,4.825,4.9,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,NA,NA,4.925,4.875,NA,NA,4.825,NA,4
"Clukey, Nathan","Tax Prac & Proc (Admin Pract)",202060,8.25,12.75,67.75,4.7,4.625,NA,NA,NA,NA,NA,NA,4.725,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.675,4.75,NA,NA,4.725,NA,4
"Coburn, Marcella","Appellate Litigation Clinic",201960,9,16,56.5,4.95,4.95,NA,NA,NA,4.9,NA,NA,4.95,NA,4.95,4.3,NA,NA,NA,4.35,NA,NA,NA,NA,NA,4.85,4.9,NA,NA,4.85,NA,2
"Cohen, Adam","Emp Ben: Qual Retirement Plans",202030,6.6,9,73.4,4.8,4.74,NA,NA,NA,NA,NA,NA,4.94,NA,NA,NA,NA,NA,NA,4.68,NA,NA,NA,NA,NA,4.8,4.96,NA,NA,4.76,NA,5
"Cohen, Arthur","Devel & Finance Infra Proj",202065,9.25,13.25,70.25,4.225,4.2,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.675,4.325,NA,NA,4.5,NA,4
"Cohen, Jonathan","Intell Property for Start-ups",202160,32,45.5,69,4.6,4.95,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.5,4.85,NA,NA,4.55,NA,2
"Cohen, Julie","Copyright Law",202023.333,28,53.333,54.333,3.9,4.633,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,4.333,NA,NA,NA,NA,NA,4.633,4.533,NA,NA,4.167,NA,3
"Cohen, Julie","Information Privacy Law",201980,25.25,37.25,69.75,4.625,4.975,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,NA,NA,NA,4.725,NA,NA,NA,NA,NA,4.925,4.775,NA,NA,4.75,NA,4
"Cohen, Julie","Tech Law & Pol Coll: Data, Alg",202160,14.5,19.5,74,4.9,4.95,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,NA,NA,NA,4.95,NA,NA,4.9,4.3,NA,4.95,4.95,4.3,4.95,4.9,4.9,2
"Cohen, Julie","Technology Law & Policy Colloq",201960,13.5,18,75.5,4.75,4.95,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,NA,NA,NA,4.95,NA,NA,5,4.75,NA,4.9,4.75,4.6,5,4.85,4.9,2
"Cohen, Julie","Trademark & Unfair Comp Law",202010,11,20,55,4.9,4.8,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,5,4.9,NA,NA,4.9,NA,1
"Cohn, Alan","Curr Iss in National Security",201910,23,24,96,4.8,4.8,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.7,4.9,NA,NA,4.8,NA,1
"Colangelo, Sara","Environmental Dispute Res Sem",202010,10.667,14.667,73,4.9,5,NA,NA,NA,NA,NA,NA,4.967,NA,NA,NA,NA,NA,NA,4.867,NA,NA,4.667,4.533,NA,4.967,5,4.867,4.7,4.9,4.867,3
"Colangelo, Sara","Environmental Law",201830,37,42,88,4.7,4.9,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.7,4.9,NA,NA,4.7,NA,1
"Colangelo, Sara","Environmental Law & Justice Cl",202220,6.5,8,81.5,5,5,NA,NA,NA,4.95,NA,NA,5,NA,5,4.95,NA,NA,NA,4.8,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,2
"Colangelo, Sara","Environmental Lawyering",201956.667,7.333,11.333,64,5,4.933,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.967,NA,NA,NA,NA,NA,5,4.967,NA,NA,4.967,NA,3
"Cole, David","Arguing Free Speech in 21st Ce",202210,13,14,93,4.8,4.9,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.8,NA,NA,5,4,NA,4.7,4.9,5,4.7,4.8,5,1
"Coleman, Ronald","White Collar Crim Pract Fellow",202110,2.667,3.667,72.333,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4.9,5,NA,NA,5,NA,3
"Coleman, Ronald","White Collar Criminal Practice",202110,6.667,11.333,61,4.933,5,NA,NA,NA,NA,NA,NA,4.867,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.833,5,NA,NA,4.9,NA,3
"Colla, Derek","Emerging Growth Companies",202010,11.667,24.667,47.333,4.433,4.667,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.4,4.767,NA,NA,4.5,NA,3
"Collins, Bryan","Consolidated Returns",202060,9.5,26.5,36.75,4.925,4.825,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,NA,NA,4.925,4.95,NA,NA,4.85,NA,4
"Collins, Wayne","Adv Antitrust Economics & Law",201910,4,15,27,5,4.5,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,4.3,NA,NA,4,5,NA,5,5,5,4,5,4,1
"Collins, Wayne","Antitrust Law Sem: Case Devel",202060,3,8.75,33,4.75,4.925,NA,NA,NA,NA,NA,NA,4.825,NA,NA,NA,NA,NA,NA,4.375,NA,NA,5,5,NA,4.625,4.75,5,5,4.8,5,4
"Collins, Wayne","Merger Antitrust Law",202030,12.4,25.8,48.6,4.56,4.92,NA,NA,NA,NA,NA,NA,4.82,NA,NA,NA,NA,NA,NA,4.34,NA,NA,NA,NA,NA,4.86,4.82,NA,NA,4.64,NA,5
"Comstock, Stephen","Taxn of Energy Markets",201960,3,11,27,4.9,4.5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4.9,5,NA,NA,4.9,NA,2
"Concannon, Serafina","Civil Discovery in Fed Courts",202180,11,16,69,4.35,4.8,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,4.3,4.75,NA,NA,4.35,NA,2
"Concepcion, Cattleya","Legal Research Skills for Prac",201910,8,11,73,4.4,5,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.1,4.6,NA,NA,4.4,NA,1
"Connor, Anupama","Legal Practice: Writ/Analysis",202190,36,50,71.333,4,4.9,NA,NA,NA,NA,NA,NA,4.633,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,4.4,4.767,NA,NA,4.1,NA,3
"Connor, Anupama","Legal Writing Sem:Theory&Pract",202230,3,6,50,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Connor, Deborah","Trial Practice",202010,3.5,9,40,3.85,3.8,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,2.85,NA,NA,NA,NA,NA,4.35,4.25,NA,NA,4,NA,2
"Connor, Michael","Water Law Seminar",201830,10,10,100,4.9,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.9,5,NA,NA,4.9,NA,1
"Conry, Kevin","Non-Profit Organizations",202010,11,17.5,63,4.1,4.9,NA,NA,NA,NA,NA,NA,4.45,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,4.3,4.85,NA,NA,4.2,NA,2
"Constantin, Andrés","Industry Epidemics",202130,11.667,14.333,77.333,4.733,4.833,NA,NA,NA,NA,NA,NA,4.733,NA,NA,NA,NA,NA,NA,4.667,NA,NA,3.7,2.7,NA,4.867,4.9,3.5,3.3,4.8,3.5,3
"Cook, Anthony","Co-ops & Sustainable Comm Sem",202110,3,11,27,4,5,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3.7,NA,NA,5,4.3,NA,4,4.3,3.7,3.7,4,3.7,1
"Cook, Anthony","Community Development Sem",202030,16,33,48,4.1,4.1,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,4.3,4.7,NA,NA,4.3,NA,1
"Cook, Anthony","Community Development Seminar",201962,4.6,11.6,34.6,4.32,4.78,NA,NA,NA,NA,NA,NA,4.46,NA,NA,NA,NA,NA,NA,3.62,NA,NA,3.95,4.15,NA,4.38,4.6,4.025,3.775,4.22,3.95,5
"Cook, Anthony","Global Cities & Urbanizatn Sem",201910,4,15,27,4.5,4.3,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.3,NA,NA,4,4,NA,4.3,5,4,4,4.3,4.3,1
"Cook, Anthony","Law & Entrepreneurship Pract",202150,5.333,14,35.333,4.667,4.367,NA,4.9,NA,NA,4.1,4.4,4.2,3.833,NA,NA,NA,NA,NA,3.433,4.233,NA,NA,NA,NA,4.8,4.833,NA,NA,4.333,NA,3
"Cook, Anthony","Law & Solidarity Economy",202220,1,7,14,5,4,NA,2,NA,NA,5,3,5,5,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Cook, Anthony","Law & Solidarity Economy Pract",202230,1,11,9,1,NA,NA,4,NA,NA,4,1,1,2,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,3,3,NA,NA,1,NA,1
"Cook, Anthony","Law Entrepren & Soc Inn Pract",201960,8.5,16.5,51.5,4.65,4.65,NA,4.5,NA,NA,4.3,4.15,4.7,4.45,NA,NA,NA,NA,NA,4.45,4.05,NA,NA,NA,NA,4.85,4.9,NA,NA,4.75,NA,2
"Cook, Anthony","Race & Democracy: Voting Rts",202120,4,12,33,4.8,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,4.5,4.5,NA,NA,4.8,NA,1
"Cook, Anthony","Race, Inequality & Prog Pol",201880,11.5,20,57.5,4.5,4.15,NA,NA,NA,NA,NA,NA,4.85,NA,NA,NA,NA,NA,NA,4.25,NA,NA,NA,NA,NA,4.65,4.7,NA,NA,4.35,NA,2
"Cook, Anthony","Race, Inequality and Progressive Politics: Voting Rights in",201830,6,9,67,5,4.6,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Cooper, Catherine","Intl Women's Human Rights Clin",202120,7,8,87.5,4.475,4.95,NA,NA,NA,4.1,NA,NA,4.65,NA,4.375,4.2,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.6,4.65,NA,NA,4.425,NA,4
"Cooper, John","Externship I Seminar",202003.333,8.5,12.333,69.5,4.033,4.4,NA,NA,NA,NA,NA,NA,3.45,NA,NA,NA,NA,NA,NA,3.55,NA,NA,NA,NA,NA,4.083,4.5,NA,NA,4.3,NA,6
"Copacino, John","Criminal Justice Clinic",202010,11,13.333,83.333,4.967,4.933,NA,NA,NA,4.8,NA,NA,4.833,NA,4.967,4.533,NA,NA,NA,4.433,NA,NA,NA,NA,NA,4.967,4.967,NA,NA,4.967,NA,3
"Corcoran, Ryan","Income Tax Accounting",202130,11,25,44,3.4,4.1,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,3.4,4.5,NA,NA,3.5,NA,1
"Cordero, Carrie","Cybersecurity Law & Policy",201930,12.333,14.667,85.333,4.4,4.667,NA,NA,NA,NA,NA,NA,4.733,NA,NA,NA,NA,NA,NA,4.567,NA,NA,NA,NA,NA,4.6,4.8,NA,NA,4.5,NA,3
"Cordisco, Meredith","Securities Regulation",202180,29,39,76.5,4.7,4.95,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,NA,NA,4.7,4.9,NA,NA,4.75,NA,2
"Corkran, Kelsi","Constitutional Impact Lit Prac",202220,4.5,8,56.5,4.8,4.9,4.4,NA,4.8,NA,NA,NA,5,NA,NA,NA,NA,4.3,4.5,5,NA,NA,NA,NA,NA,4.9,4.9,NA,NA,4.8,NA,2
"Coronado, Antonio","Racial Equity in Educ Law/Pol",202230,5,8,63,5,4.6,NA,NA,NA,5,NA,NA,5,NA,5,5,NA,NA,NA,4.8,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Costa, Christopher","Intro to US Civil Procedure",202180,20.5,24,88.5,4.2,4.6,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,4.55,NA,NA,NA,NA,NA,4.45,4.6,NA,NA,4.25,NA,2
"Costantino, Cathy","Conflict Mgmt Systms Design Se",202060,16.5,24,68.75,4.9,4.85,NA,NA,NA,NA,NA,NA,4.65,NA,NA,NA,NA,NA,NA,4.125,NA,NA,NA,NA,NA,4.775,4.925,NA,NA,4.8,NA,4
"Costantino, Cathy","Mediation Seminar",202010,10.333,23,44.667,5,5,NA,NA,NA,NA,NA,NA,4.967,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.867,5,NA,NA,5,NA,3
"Costantino, Cathy","Negotiations Sem",202058,19.1,22.6,85,4.94,4.87,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,NA,NA,NA,4.55,NA,NA,NA,NA,NA,4.85,4.95,NA,NA,4.95,NA,10
"Costantino, Cathy","Negotiations Seminar",201826.667,17,20.333,84.667,4.833,4.8,NA,NA,NA,NA,NA,NA,4.833,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.833,4.967,NA,NA,4.867,NA,3
"Courtney, Brooke","Law & Reg Global Health Tech",201960,5.5,8,65,4.6,4.75,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,4.5,5,NA,NA,4.6,NA,2
"Coutifaris, Alison","Center for Applied Legal Studi",202120,9.75,12,81.25,4.95,4.975,NA,NA,NA,4.925,NA,NA,4.975,NA,4.85,4.725,NA,NA,NA,4.65,NA,NA,NA,NA,NA,4.95,4.95,NA,NA,4.95,NA,4
"Cox, Krista","Copyright Law",201910,18,34,53,3.6,4.7,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,3.8,4.6,NA,NA,3.6,NA,1
"Cox, Rafael","Practicng Law in Another Cntry",201920,8,13,62,2.4,2.7,NA,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,3.3,3.1,NA,NA,2.6,NA,1
"Coyne, Patrick","Persuasion",201930,11,18,61,4.1,4.1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,4.4,3.9,NA,NA,4.1,NA,1
"Craig, Liza","Mediation Seminar",202182,11.8,18.6,63.6,4.96,4.78,NA,NA,NA,NA,NA,NA,4.88,NA,NA,NA,NA,NA,NA,4.58,NA,NA,NA,NA,NA,4.88,5,NA,NA,4.9,NA,5
"Creighton, Andrew","Federal Prosecution",201880,12,18.5,65.5,3.1,4,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,3.05,NA,NA,NA,NA,NA,3.6,3.55,NA,NA,3.2,NA,2
"Creighton, Sara","Legal Practice: Writ/Analysis",202190,31.667,50.667,63,5,4.933,NA,NA,NA,NA,NA,NA,4.967,NA,NA,NA,NA,NA,NA,4.333,NA,NA,NA,NA,NA,4.833,5,NA,NA,5,NA,3
"Creighton, Sara","Legal Writing Sem:Theory&Pract",202190,3.333,6,55.667,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,5,5,NA,5,5,5,5,5,5,3
"Crnkovich, Robert","Adv Partnership",201910,3,9,33,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Crockin, Susan","Assisted Reproductive Tech Law",202050,9.667,12.667,78,4.467,4.567,NA,NA,NA,NA,NA,NA,4.867,NA,NA,NA,NA,NA,NA,4.267,NA,NA,5,5,NA,4.633,4.633,5,3,4.5,5,3
"Crockin, Susan","Comp Reproductive Tech Law",201960,6,9.5,64.5,4.2,4.35,NA,NA,NA,NA,NA,NA,4.65,NA,NA,NA,NA,NA,NA,4.65,NA,NA,4.5,4.5,NA,4.55,4.4,NA,4.5,4.25,NA,2
"Crowley, Jeffrey","Natl & Global Health: O'Neill",202030,11.8,18,66.2,4.58,4.74,NA,NA,NA,NA,NA,NA,4.82,NA,NA,NA,NA,NA,NA,4.12,NA,NA,4.14,3.86,NA,4.76,4.7,4.42,4.32,4.66,4.5,5
"Cuaresma, Jolina","Federal Legislation Clinic",201940,7,10.75,64.75,4.15,4.475,NA,NA,NA,4.4,NA,NA,4.875,NA,4.625,4.325,NA,NA,NA,4.525,NA,NA,NA,NA,NA,4.55,4.55,NA,NA,4.325,NA,4
"Cunningham, Anne","Domestic Violence Clinic",202170,8.5,10,85,4.25,4.45,NA,NA,NA,3.65,NA,NA,4.65,NA,4.85,4.05,NA,NA,NA,4.1,NA,NA,NA,NA,NA,4.25,4.3,NA,NA,4.2,NA,2
"Cunningham, Anne","Health Justice Alliance Law Cl",202020,8.75,11.5,76,4.6,4.725,NA,NA,NA,4.7,NA,NA,4.85,NA,4.775,4.55,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.575,4.475,NA,NA,4.475,NA,4
"Curran, Kevin","Tax Prac & Proc (Admin Pract)",202060,8.25,12.75,67.75,4.65,4.6,NA,NA,NA,NA,NA,NA,4.725,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.675,4.725,NA,NA,4.65,NA,4
"Curry, John","Intel Prop Lit: Pretrial Skill",202230,6,7,86,3.7,3.7,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3.8,4.5,NA,NA,3.8,NA,1
"Curtin, David","Tax Prac & Proc (Litigation)",201910,8.5,27.5,36.5,4.95,5,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,4.7,4.85,5,NA,NA,4.95,NA,2
"Cuttino, Nakita","Contracts",202210,46,50,92,2.1,4.2,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,3.6,NA,NA,2.2,NA,1
"Cuttino, Nakita","FinTech & Fin Democ Sem",202180,12.5,17.5,71.5,4.35,4.4,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,NA,NA,NA,4.8,NA,NA,3.85,3.65,NA,4.8,4.75,2.9,4,4.45,3.5,2
"D'Oyley, Raisa","Negotiations (LL.M.)",202074,16,17,95.4,4.925,4.85,NA,NA,NA,NA,NA,NA,4.92,NA,NA,NA,NA,NA,NA,4.84,NA,NA,NA,NA,NA,4.875,4.85,NA,NA,4.9,NA,5
"Daly, Brooks","Sov States & Perm Court of Arb",202030,7.25,15,48.75,4.85,4.725,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.9,4.925,NA,NA,4.95,NA,4
"Damtoft, Russell","Global Competition Law& Policy",202030,6.5,8.5,77.5,4.3,4.9,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,NA,NA,4.5,4.4,NA,NA,4.4,NA,2
"Danzis, Scott","Law & Reg of Drugs",202030,12.4,21.4,57.2,4.68,4.66,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.32,NA,NA,NA,NA,NA,4.74,4.88,NA,NA,4.74,NA,5
"Darrow, Joseph","US Legal Res. Anlsys & Writing",201830,10,14,71,4.8,5,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.9,4.9,NA,NA,4.9,NA,1
"Das, Shaswat","Intl Business Negotiations",202230,8,15,53,4.9,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.8,5,NA,NA,4.8,NA,1
"Datz, Harold","Labor Law",202000,5.25,13.5,38.5,4.9,4.825,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,NA,NA,NA,4.875,NA,NA,NA,NA,NA,4.925,4.95,NA,NA,4.95,NA,4
"Davidow, Charles","Corporations",202030,68,109.8,61.8,4.48,4.8,NA,NA,NA,NA,NA,NA,4.74,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.5,4.82,NA,NA,4.56,NA,5
"Davidson, Christopher","Tax Plan for Real Estate Trans",202080,4.5,8.75,59.25,4.625,4.65,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.375,NA,NA,NA,NA,NA,4.675,4.85,NA,NA,4.7,NA,4
"Davis, Jacob","Business Planning Seminar",201980,3.5,8,40.5,5,4.9,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,2
"De Amicis, Don","Corporations",202130,48.333,60.333,80.667,4.6,4.667,NA,NA,NA,NA,NA,NA,4.767,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.733,4.733,NA,NA,4.633,NA,3
"De Amicis, Don","Intl Business Compliance",202110,8,11.667,69.667,4.733,4.767,NA,NA,NA,NA,NA,NA,4.767,NA,NA,NA,NA,NA,NA,4.733,NA,NA,NA,NA,NA,4.8,4.933,NA,NA,4.833,NA,3
"De Amicis, Don","Intl Business Transactions",202043.333,19.222,24.889,77.667,4.533,4.811,NA,NA,NA,NA,NA,NA,4.811,NA,NA,NA,NA,NA,NA,4.667,NA,NA,NA,NA,NA,4.7,4.856,NA,NA,4.589,NA,9
"De Vos, Lloyd","Tax Treaties",202060,12.625,20.75,59.625,4.5,4.75,NA,NA,NA,NA,NA,NA,4.775,NA,NA,NA,NA,NA,NA,4.588,NA,4.467,NA,NA,4.4,4.75,4.7,NA,NA,4.475,NA,8
"DeLaurentis, Frances","Adv Legal Writing in Practice",202230,13,16,81,4.6,5,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.8,NA,NA,4.9,4.5,NA,4.8,4.8,4.9,4.6,4.8,4.8,1
"DeLaurentis, Frances","Applied Legal Composition",202065,7,9.75,70.5,5,5,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,NA,NA,NA,4.7,NA,NA,4.875,4.925,NA,4.9,4.9,5,5,4.95,5,4
"DeLaurentis, Frances","Legal Practice: Writ/Analysis",202043.333,41.333,52.333,79,4.733,4.9,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,3.967,NA,NA,NA,NA,NA,4.733,4.8,NA,NA,4.733,NA,3
"DeLaurentis, Frances","Legal Writing Sem:Theory&Pract",202043.333,5.333,6,89,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,4.867,4.9,NA,5,5,5,5,5,5,3
"DeLaurentis, Frances","White Collar Crim Pract Fellow",202110,2.667,3.667,72.333,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,3
"DeLaurentis, Frances","White Collar Criminal Practice",202110,6.667,11.333,61,4.767,4.967,NA,NA,NA,NA,NA,NA,4.867,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.8,4.867,NA,NA,4.867,NA,3
"DeRosa, Mary","Curr Iss in National Security",201910,23,24,96,4.6,5,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.8,5,NA,NA,4.6,NA,1
"DeRosa, Mary","Cyber & Natl Sec: Curr Iss Sem",202030,15.6,20.6,75.6,4.8,4.86,NA,NA,NA,NA,NA,NA,4.86,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,4.56,4.9,NA,NA,4.66,NA,5
"DeRosa, Mary","Global Law Scholars 1L Seminar",202160,7.5,21.5,35.5,5,4.85,NA,NA,NA,NA,NA,NA,4.85,NA,NA,NA,NA,NA,NA,4.85,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,2
"DeRosa, Mary","Global Law Scholars Sem I",202030,8,20.8,39,4.76,4.86,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,4.44,4.68,NA,NA,4.54,NA,5
"DeRosa, Mary","Global Law Scholars Seminar II",202060,8.25,20.75,40.25,4.775,4.825,NA,NA,NA,NA,NA,NA,4.375,NA,NA,NA,NA,NA,NA,4.225,NA,NA,NA,NA,NA,4.6,4.75,NA,NA,4.625,NA,4
"DeRosa, Mary","National Security Lawyering Sm",202060,14.75,21.25,69.75,4.95,4.975,NA,NA,NA,NA,NA,NA,4.925,NA,NA,NA,NA,NA,NA,4.95,NA,NA,4.825,4.75,NA,4.925,4.975,4.975,4.9,4.95,4.95,4
