Section Content,Course ID,Course Name,Course Limit,Prerequisite,Note,Recommended,Mutually Excluded Courses,Professor_1,Professor_1 Link,Professor_2,Professor_2 Link,Professor_3,Professor_3 Link,Time
"In this project-based practicum course focused on international economic law, primarily international trade and investment law, students will participate in a seminar and will work throughout the semester on a project done on behalf of a developing country government, an international organization, an NGO or an SME under the supervision of their professor(s) and in conjunction with expert mentors. Students will participate in a weekly seminar with two-hour sessions (during some weeks, primarily at the start of the semester and around the middle and end of the term, the seminar meets two or three times, other weeks, the seminar does not meet and only team meetings take place) and carry out 10 hours/week of project work under the direction of the course professors.
SEMINAR: This practicum offers a unique opportunity to thoroughly analyze international trade and investment law, as well as broader issues of international economic law, and jurisprudence through a combination of practice and theory. The practicum has three goals. First, to enhance students’ substantive legal knowledge of international economic law, not only through traditional in-class teaching but also through hands-on work on a specific legal project of high practical importance for their “beneficiary.” Second, the practicum aims to improve students’ professional skills to become successful lawyers, including the ability to analyze complex legal problems, to apply the law to a set of facts, to interact with beneficiaries, to work in groups with other lawyers across cultures and language barriers, to convincingly make oral presentations, to write legal memos or submissions, and to adapt the explanation of legal expertise to a diverse audience. Third, the practicum aims to stimulate personal skills and aspirations of students and to make them aware of professional opportunities in the international law field and discover new challenges. Through interactions with students from diverse background and a diversity of “beneficiaries”, often from other countries and legal systems, participants will build inter-personal skills, learn about other legal, economic, and social systems, and experience the challenges and needs of a wide variety of stakeholders affected by international economic law, extending well beyond traditional issues and stakeholders.
PROJECT WORK: Students will work in small groups (“project teams”) and under the close supervision of one or more Professors (""Supervising Professors""), invited experts (“Mentors”) and the Teaching Assistant (TA) on specific legal questions related to international economic law (IEL) coming from “real clients” (“beneficiaries”) such as international organizations, governments, SMEs or NGOs. In addition, introductory sessions by Mentors will be held to provide substantive background to the respective topics, as well as sessions to improve research and legal writing skills. At the end of the semester, the groups will submit written legal memos or other work products and orally present their projects in class in the presence of the beneficiary and other invited guests. To get an idea of the types of projects done in previous years, see www.tradelab.org.
The practicum is part of the broader TradeLab network and operates in collaboration with TradeLab (www.tradelab.org) to enable beneficiaries to submit projects, to facilitate the operation of the teams and to promote the completed work to the public. TradeLab is an online platform that allows countries, NGOs and other smaller stakeholders easy and smart access to legal talents in the field of trade and investment law, allowing these actors to reap the full development benefits of global trade and investment rules by making WTO, preferential trade and bilateral investment treaties work for everyone.",LAW 1260 v00,International Economic Law Practicum (Project-Based Practicum),,"Prerequisite:
Students must complete a basic trade/WTO or investment law course before applying. J.D. students must complete the required first-year program prior to enrolling (part-time and interdivisional transfer students may enroll prior to completing Criminal Justice, Property, or their first-year elective).","Note:
This course will meet in Spring 2024 on the following dates: 1/18, 1/19, 1/25, 1/26, 2/1, 2/2, 2/8, 2/9, 3/21, 3/22, 4/25, and 4/26.  
This practicum course is open to LL.M. students, space permitting.
This practicum may be suitable for evening students who can commit to attending class and participating in 10 hours/week of project work.
THIS PRACTICUM REQUIRES PROFESSOR PERMISSION TO ENROLL. Please send a CV, and an email indicating which trade/WTO or investment law courses you have taken, why you are interested in taking the Practicum, and what it is you think you can add to the teams, to Mabintou Ouattara at (mo887@georgetown.edu) by Thursday, November 30, 2023. After November 30, please contact Prof. Katrin Kuhlmann to inquire whether spaces remain available; if so, students will be admitted on a rolling basis at that time. 
This is a four-credit course. Two credits will be awarded for the two-hour weekly seminar and two credits will be awarded for approximately 10 hours of project work per week, for a minimum of 11 weeks. Both the seminar and the project work will be graded.
Students who enroll in this course will be automatically enrolled in both the seminar and project components and may not take either component separately. After Add/Drop, a student who wishes to withdraw from a practicum course must obtain permission from the faculty member and the Assistant Dean for Experiential Education. The Assistant Dean will grant such withdrawal requests only when remaining enrolled in the practicum would cause significant hardship for the student. A student who is granted permission to withdraw will be withdrawn from both the seminar and project components.
Default attendance rule for all practicum courses (unless the professor indicates otherwise): Regular and punctual attendance is required at all practicum seminars and fieldwork placements. Students in project-  based practicum courses are similarly required to devote the requisite number of hours to their project. If a student must miss a seminar, fieldwork, or project work, he or she must speak to the professor as soon as possible to discuss the absence. Unless the professor indicates otherwise, a student with more than one unexcused absence from the practicum seminar (out of 13 total seminar sessions), or one week of unexcused absences from the fieldwork or project work (out of a total of 11 weeks of fieldwork or project work), may receive a lower grade or, at the professor’s discretion, may be withdrawn from the practicum course. 
 ",,"Mutually Excluded Courses:
Students may not concurrently enroll in this practicum course and a clinic or another practicum course. Students may concurrently enroll in this practicum course and an externship.",Jennifer Hillman,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzI4NDY5,Katrin Kuhlmann,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzIzOTA2,,,"ThF 11:10am-1:10pm (1/18 to 2/9, 3/21 to 3/22, 4/25 to 4/26)"
"This course examines the law, institutions, and advocacy strategies designed to protect international human rights.  We will analyze civil and political rights and economic and social rights, as well as international humanitarian law, and explore key enforcement mechanisms at the national, regional, and international levels. The evolving role of NGOs and civil society actors in advancing human rights, and the responsibility of corporations, will also be examined. Both progress and enduring challenges in making human rights real “on the ground” will be a focus of this course, together with the need for effective enactment of legal standards, enforcement of those standards, and empowerment of affected communities. Current legal issues and strategies concerning climate change and human rights will also be highlighted.  ",LAW 227 v04,International Human Rights,Limit: Varies by section,,,"Recommended:
International Law I: Introduction to International Law.","Mutually Excluded Courses:
Students may not receive credit for both this course and the graduate course, International Human Rights Law.",Jane Stromseth,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzIwNDIz,,,,,TTh 9:35am-11:00am (1/16 to 4/27)
"This course provides an intensive survey of international human rights law and practice, with a principal focus on interpretation and implementation of human rights obligations, commitments, and norms in the practice of states. The course has three main components: in the first unit, we examine the development of the substantive law of human rights and its sources (including treaties, customary international law, and non-binding international instruments). In the second unit, we examine implementation of international human rights in the international, regional, and domestic systems, focusing on UN organs such as the Human Rights Council and treaty bodies as well as regional systems such as the European and Inter-American Courts of Human Rights.  Finally, in the third unit we look at the application of the substantive law and implementation mechanisms in the context of current issues in international human rights, including in the context of atrocities, and the refugee crisis. The course highlights selected contemporary ethical problems in international human rights law such as genocide, crimes against humanity, and torture; application of human rights obligations, commitments, and norms to non-state actors (including corporations); positive duties on states to protect individuals from abuses by non-state actors; universality of human rights and cultural relativism; and the need to protect human rights while countering terorism, including issues relevant to U.S. law and practice. Along the way we examine issues related to international immunities, impunity, human rights litigation under the U.S. Alien Tort Claims Act and Torture Victim Protection Act, and international criminal tribunals. ",LAW 814 v00,International Human Rights Law,Limit: Varies by section,,,"Recommended:
International Law I: Introduction to International Law.","Mutually Excluded Courses:
Students may not receive credit for both this course and International Human Rights Law, or the J.D. course, International Human Rights.",James L Bischoff,https://www.law.georgetown.edu/faculty/?redirect=RzAwOTQ3MzM5,Amanda Jean Wall,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzU3ODcy,,,T 5:45pm-8:50pm (1/16 to 4/27)
Cancelled section,LAW 3046 v00,"International Investment Law and Arbitration in Practice: Past, Present, and Future",,,"Note:
Students may not withdraw from this class after the add/drop period ends without the permission of the professor.",,,Patrick W. Pearsall,https://www.law.georgetown.edu/faculty/?redirect=RzAwNjE1OTQy,Can V. Yeginsu,https://www.law.georgetown.edu/faculty/?redirect=RzAwNzYzNDY3,,,
"This project practicum will provide an opportunity for students to be involved in two projects designed to further accountability for war crimes and other atrocities.
Most of the work will be on the Atrocity Crimes Advisory Group (ACA), which is a project established by the United States, European Union, and United Kingdom to assist the Ukraine Office of Prosecutor General (OPG) in investigating and prosecuting war crimes and atrocities committed during the conflict that began with Russia’s full-scale invasion of Ukraine in February 2022. 
A second project is the Innovation Council for International Justice (ICIJ), which is an initiative that will bring together experts from a wide variety of fields to analyze efforts to achieve accountability for war crimes and atrocities in order to draw lessons for innovative future approaches to this challenge. 
In the project portion of the course, students will be involved in activities with the ACA and the ICIJ that will give them a ground-level view of how institutions to provide accountability for atrocities operate in practice. These activities will enable them to acquire skills that go well beyond the typical law school experience, and may include:
(1) coordinating, developing agendas for, attending, and summarizing meetings involving ACA subject matter experts;
(2) helping organize visits to the US by Ukrainian prosecutors, investigators, and officials, as well as ACA events;
(3) working on initiatives requested by the OPG such as a victim and witness support protection and support program;
(4) supporting the collection of information on the Ukrainian population’s experience of the war and their conceptions of what would constitute accountability for harm; and
(5) conducting occasional research for the OPG.
The seminar portion of the course will:
(1) provide students with a solid understanding of how substantive international law attempts to ensure accountability for war crimes and other atrocities;
(2) give them an appreciation of the jurisdictional issues that arise in international criminal law and their implications for seeking justice;
(3) illuminate political and social challenges in creating mechanisms to seek justice for war crimes and atrocities;
(4) prompt consideration of the conceptual and jurisprudential issues involved in ascribing criminal liability to individuals who may have engaged in significantly different activities, through discussion of concepts such as command responsibility and joint criminal enterprise;
(5) invite reflection on ethical questions that arise in seeking accountability for war crimes and atrocities, such as potential tensions between obtaining an end to conflict and securing justice; the concept of a just peace; the extent to which political considerations should inform prosecutorial decisions; the appropriate role in prosecution decisions of local communities who have been harmed by atrocities; and the relative weight in prosecution decisions of considerations such as the gravity of an offense, strength of evidence, public attention, specific deterrence of allegedly culpable individuals, and general deterrence of future perpetrators.
In these ways, the practicum is designed to enable Georgetown law students to serve as leaders in the next generation of lawyers and policymakers devoted to seeking international justice.",LAW 1863 v00,International Justice for War Crimes and Atrocities Practicum (Project-Based Practicum),,,"Note:
Students who enroll in this course will be automatically enrolled in both the seminar and practicum components and may not take either component separately. After Add/Drop, a student who wishes to withdraw from a practicum course must obtain permission from the faculty member and the Assistant Dean for Experiential Education. The Assistant Dean will grant such withdrawal requests only when remaining enrolled in the practicum would cause significant hardship for the student. A student who is granted permission to withdraw will be withdrawn from both the seminar and project components.
Default attendance rule for all practicum courses (unless the professor indicates otherwise): Regular and punctual attendance is required at all practicum seminars and fieldwork placements. Students in project-based practicum courses are similarly required to devote the requisite number of hours to their project. If a student must miss seminar, fieldwork, or project work, he or she must speak to the professor as soon as possible to discuss the absence. Unless the professor indicates otherwise, a student with more than one unexcused absence from the practicum seminar (out of 13 total seminar sessions), or one week of unexcused absences from the fieldwork or project work (out of a total of 11 weeks of fieldwork or project work), may receive a lower grade or, at the professor’s discretion, may be withdrawn from the practicum course.
THIS PRACTICUM REQUIRES PROFESSOR PERMISSION TO ENROLL. If interested, please send a CV, an email explaining why you are interested in taking the Practicum, and what it is you think you can add to the course, to Sarah McIntosh by April 11, 2023. As of August 4, 2023, the course registration for AY2023-24 is complete. ",,,Milton C. Regan,https://www.law.georgetown.edu/faculty/?redirect=RzAwMTI5Mjg3,Sarah L McIntosh,https://www.law.georgetown.edu/faculty/?redirect=RzAwNzA4MzAw,Rebecca Rattner,https://www.law.georgetown.edu/faculty/?redirect=RzAxMDM0MTc4,W 1:20pm-3:20pm (1/16 to 4/27)
"This introductory course deals with the nature, sources and operation of ""public international law,"" with some of the most important contemporary challenges to the international legal system, and with the international community’s evolving responses to those challenges. It includes such topics as the law governing treaties and other international agreements; the recognition of states and governments; methods for international dispute resolution including litigation in the International Court of Justice; the United Nations and other international and regional entities; international human rights and international criminal law; law of the sea and international environmental law; and the rules governing the use of force. Some attention is also given to the role of international law in the U.S. legal system; questions of jurisdiction, foreign sovereign immunity and the act of state doctrine; and the allocation of foreign affairs powers between the President, the Congress, and the Judiciary. We will discuss a few of the most pressing illustrations of the operation – or shortcomings – of the international legal system in the context of current problems or crises. As a first-year elective, this course is intended to offer a contrast or a complement to the bulk of the first year curriculum, by exposing students to the substance and style of foreign and international law materials, institutions, and dispute-resolution mechanisms, and to provide a gateway to Georgetown's rich international law upper class course offerings. ",LAW 235 v08,International Law I: Introduction to International Law,,,"Note:
This course is a first-year elective. First-year day students select an elective offered in the spring.",,"Mutually Excluded Courses:
Students may not receive credit for this course and the upperclass course by the same title, or the LL.M. course International Law Essentials: The U.S. Perspective.",David A. Koplow,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzE5ODg1,,,,,MW 11:10am-12:35pm (1/16 to 4/27)
"This course is a broad introduction to public international law. Students will consider the nature of international law as law, sources of international law including customary international law, and the role of national and international tribunals in international dispute resolution. The course will also cover topics including the fundamentals of treaty law, statehood, recognition of states and governments, jurisdiction and immunity, state responsibility, international humanitarian law, international human rights law, international environmental law, the law of the sea, and international commercial disputes. The course will touch on other relevant topics as time permits.",LAW 235 v17,International Law I: Introduction to International Law,,,"Note:
J.D. Students: Registration for this course will be open to Evening Division students only during the initial J.D. student registration windows. Full-time Day Division students will be able to add or waitlist this course beginning at 9:30 a.m. on Thursday, November 9, 2023.",,"Mutually Excluded Courses:
Students may not receive credit for both this course and the first-year elective International Law I: Introduction to International Law, or the LL.M. course International Law Essentials: The U.S. Perspective.",David Bryan Sullivan,https://www.law.georgetown.edu/faculty/?redirect=RzAwMTAzMDE1,Terra L Gearhart-Serna,https://www.law.georgetown.edu/faculty/?redirect=RzAwOTg4OTkw,,,T 5:45pm-8:50pm (1/16 to 4/27)
"This seminar examines efforts to reduce poverty in countries and problems of accountability in doing so, whether in international institutions, national institutions, or the private sector. Considers various approaches to accountability. Covers issues of compliance, good governance, human rights, corruption, environmental sustainability, and experience with various accountability mechanisms in international institutions. Includes two simulations in which students must address accountability issues.
Learning goals for this course: To understand the difficulties of reducing poverty within countries and the legal issues associated with bringing accountability to doing so. Students should be able to develop insights that can be applied in both the public and private sectors.",LAW 1231 v00,International Law Seminar: Poverty Reduction and Accountability,Limit: 10,,,"Recommended:
A basic course in public international law.",,Eduardo G. Abbott,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzI3Nzcx,Dilek Barlas,https://www.law.georgetown.edu/faculty/?redirect=RzAxMDM4NjE1,,,M 1:20pm-3:20pm (1/16 to 4/27)
"This course will explore the global fight against impunity -- specifically, as it pertains to curbing war crimes, human rights violations, grand corruption and looted antiquities -- through class discussions, lectures and guest speakers with personal experience in fighting the impunity that is so often associated with war crimes and economic crimes. It is based on the premise that those that are willing to slaughter thousands of innocents, are also willing to steal millions of dollars and loot our collective cultural heritage – and that the fight against impunity includes both war crimes and economic crimes (and often, the international trend to focus on the former, ignores the domestic interest in prosecuting the latter). Over the semester, students in a seminar-size class will be exposed to the basics of international criminal law, international human rights law and international economic crimes, as well how the fight against impunity impacts national security and foreign policy issues. The class will focus on issues related to war crimes, crimes against humanity, and genocide, as well as the recent global efforts to fight grand corruption and recover looted assets and antiquities, including UN Convention Against Corruption and the new UN-World Bank Stolen Asset Recovery (StAR) Initiative. Students will be allowed to write a paper of their choice regarding international law and the fight against impunity. Class grades will be a combination between class participation (20%) and a seminar paper (80%). Required readings (cases, statutes, articles, book excerpts, on-line treaties, etc.) will be illuminated by lecture and discussion from a professor with first-hand experience in the global fight against impunity through his personal experience with the Slobodan Milosevic, Saddam Hussein and Omar al-Bashir matters, as well his background with the UN war crimes tribunal, the White House, the Pentagon, and the World Bank’s StAR Initiative, and helping recover stolen assets on behalf of various governments. In order to take advantage of Georgetown’s unique position in the intersection of law, politics, and international affairs, the course will feature high-profile guest speakers who will highlight their own personal efforts to fight impunity and how such international efforts impact national security and foreign policy matters.",LAW 761 v03,"International Law, Human Rights & Fighting Impunity",Limit: Varies by section,"Prerequisite:
International Law I or equivalent.","Note:
ATTENDANCE IS MANDATORY AT ALL CLASS SESSIONS. Enrolled students must be in attendance at the start of the first class session in order to remain enrolled. Waitlisted students must be in attendance at the start of the first class session in order to remain eligible to be admitted off the waitlist. All enrolled students must attend each class session in its entirety. Failure to attend the first class session in its entirety will result in a drop; failure to attend any subsequent class session in its entirety may result in a withdrawal.
Enrolled students will have until the beginning of the second class session to request a drop by contacting the Office of the Registrar; a student who no longer wishes to remain enrolled after the second class session begins will not be permitted to drop the class but may request a withdrawal from an academic advisor in the Office of Academic Affairs. Withdrawals are permitted up until the last class for this specific course.",,,Mark V. Vlasic,https://www.law.georgetown.edu/faculty/?redirect=RzAwMTQ0Mzgw,,,,,Su 10:00am-12:00pm (1/21)
"This seminar seeks to develop skills and knowledge to participate in negotiations and in particular international business negotiations. Approximately a third of course time is devoted to the negotiating process and analysis of negotiation principles and dynamics. Another third is spent on the cultural, practical, legal and strategic elements of international business transactions. The balance is spent on a series of ""mock"" negotiations. Students, individually and in groups, experiment with different negotiating techniques and fact situations of increasing complexity. The course requirement is principally satisfied through preparation of a comprehensive negotiated agreement and follow-up memorandum. Heavy emphasis is placed on class participation, including the negotiations. The final negotiating problem requires substantial team work with others, including strategy, analysis, and preparation. Negotiations are carried on both inside and outside normal class time.",LAW 240 v00,International Negotiations Seminar,Limit: Varies by section,,"Note:
FIRST CLASS ATTENDANCE IS MANDATORY. Enrolled students must be in attendance at the start of the first class session in order to remain enrolled. Waitlisted students must be in attendance at the start of the first class session in order to remain eligible to be admitted off the waitlist.
Students may not withdraw from this class after the add/drop period ends without the permission of the professor.","Recommended:
Contracts.","Mutually Excluded Courses:
Students may not receive credit for this course and the International Negotiations Seminar (LAWJ/G-958) or International Negotiations (LAWJ/G-3029) in the graduate program, or International Business Negotiations.",Timothy A. Harr,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzIwNDgz,,,,,W 1:20pm-3:20pm (1/16 to 4/27)
"This course provides a detailed overview and analysis of the technique of project financing in an international environment (particularly in emerging markets). The focus is on the perspectives of the various parties to the project, including output purchasers, providers of goods and services, equity holders, and especially commercial banks, international financial institutions and other lenders. The aspects peculiar to infrastructure projects in specific industries (such as power generation, ports, toll roads, etc.) are also considered.
Learning objectives:
Achieve competency in understanding and analyzing international project finance transactions, from the perspective of the various parties to the project, including:
Identify, understand and analyze project risks during development, construction and operational phases;
Analyze transaction structuring and identify contractual and non-contractual risk mitigation and shifting methods for project parties;
Apply basic finance and legal principles with respect to practical and contractual remedies, as well as dispute resolution mechanisms; and
Consider specific case studies, as well as sample transaction documents, to better understand the issues that arise in a typical international project financing.",LAW 928 v01,International Project Finance,Limit: Varies by section,,,"Recommended:
Contracts; Accounting Concepts for Lawyers; Conflict of Laws: Choice of Law (or the equivalent Conflict of Laws: Choice of Law (International Focus)); Corporate Finance; Corporations.","Mutually Excluded Courses:
Students may receive credit for only one of the following courses: Developing and Financing Infrastructure Projects; International Project Finance and Investment; International Project Finance & Development: Case Studies; Project Development and Finance or Transacting International Finance.",Frederick E. Jenney,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzI3NTg0,,,,,W 5:45pm-7:45pm (1/16 to 4/27)
"This course examines legal, business and policy issues that arise in international project financings, particularly in emerging markets, and analyzes how such transactions are structured and negotiated and related risks are allocated. We consider the typical roles played by parties to such transactions (equity sponsors, lenders, customers, suppliers and host governments), interests associated with such roles, and how competing interests tend to be reconciled. We will focus on how negotiated arrangements are embodied in and supported by typical transaction documentation such as project documents, financing documents and legal opinions. Coverage will include illustrative local law and political risk issues. Selected international investment transactions, both actual and hypothetical, will be used to illustrate recurring themes.
Course requirements include participation in a simulated international project loan negotiation with outside experts serving as clients.",LAW 928 v03,International Project Finance,,,"Note:
This course has an additional MANDATORY session on Saturday, April 06, 2024, 8:30 a.m. to 12:45 p.m. Location to be announced at the start of the semester.","Recommended:
International Business Transactions; Conflict of Laws: Choice of Law; Secured Transactions; Corporate Finance.","Mutually Excluded Courses:
Students may receive credit for only one of the following courses: Developing & Financing Infrastructure Projects; Infrastructure Projects in Developing and Transition Countries; International Project Finance; International Project Finance and Investment; International Project Finance & Development: Case Studies; Project Development and Finance or Transacting International Finance.",Kenneth W. Hansen,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzE4Njcw,Anthony Molle,https://www.law.georgetown.edu/faculty/?redirect=RzAwOTAwNDcx,,,W 5:45pm-7:45pm (1/16 to 4/27)
"Examines legal and financial aspects of foreign investment projects, especially in developing countries, from the perspective of the investor, lender and the host country. Legal issues related to the structuring of the foreign investment, the arrangement of the private and public financing, and the construction of a project are considered. A significant amount of time will be devoted to analysis of typical international project finance documentation, but the international and host country legal issues applicable to foreign investment, support from national and multinational agencies, noncommercial risk analysis and dispute resolution will also be considered and discussed.",LAW 928 v02,International Project Finance and Investment,Limit: Varies by section,"Prerequisite:
A course in International Business Transactions, or background in international business or financial transactions.",,,"Mutually Excluded Courses:
Students may receive credit for only one of the following courses: Developing Infrastructure Projects, Infrastructure Projects in Developing and Transition Countries; International Project Finance; International Project Finance & Development: Case Studies; Project Development and Finance or Transacting International Finance.",Marcia A. Wiss,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzIzODQ5,Fadia T Antunes,https://www.law.georgetown.edu/faculty/?redirect=RzAwNjU5ODIz,,,Th 1:20pm-3:20pm (1/16 to 4/27)
"This course is an introduction to the law and policy of U.S. taxation of U.S. and foreign persons engaged in cross-border activities. The course will address both how individual and corporate foreign taxpayers are taxed by the United States, and how U.S. individual and corporate taxpayers are taxed by the United States on income earned in or from other countries. Topics will include U.S. jurisdiction to tax, allocation of income, withholding taxes, the foreign tax credit, deferral, transfer pricing, and tax treaties. The course will also consider how the U.S. rules in these areas are influenced by developments in other countries. The goal of the course is to provide an overview of the relevant law and policy considerations, with a focus on specific issues that are presently contested as a policy matter. Students should leave the course with an understanding of the basic framework for U.S. international tax law and a sense of some of the policy debates surrounding the current rules.",LAW 509 v01,International Tax,,"Prerequisite:
Federal Income Taxation.","Note:
Required for foreign-trained Tax LL.M. students pursuing the Certificate in International Taxation.
 ",,"Mutually Excluded Courses:
Students may not receive credit both for this course and for U.S. International Inbound Tax (formerly: U.S. Taxation of Foreign Persons in the United States); or U.S. International Outbound Tax (formerly: U.S. Taxation of Domestic Persons with Activities Outside of the U.S.); or U.S. Taxation of International Transactions.",Victoria Perry,https://www.law.georgetown.edu/faculty/?redirect=RzAxMDAwNDcw,,,,,TTh 1:20pm-3:20pm (1/16 to 4/4)
"The Workshop will use a ""case study"" approach to address the myriad technical, practical and strategic issues involved in counseling a company as it evolves from a start-up operating out of its founder's garage (in the first week of the semester) to a Fortune 100 global powerhouse with operations on every continent. Each week's hypothetical case study will consist of a fact pattern, including financial and operational data, presenting a set of business objectives and/or problems to resolve. The class will be divided into separate ""law firms"" of 4 or so students per firm. Each firm will be asked each week to undertake a new project for the senior partner/client relating to the facts and requests for advice/assistance set forth in the case study. Members of the firm will then collaborate on a brief written product for presentation and discussion during the next week's session. The form, format and audience for the deliverable will vary from week to week --a technical tax law memo for the VP-Tax, a tax/financial analysis for the CFO, a strategic powerpoint presentation to the CEO or Board, a submission to a foreign tax administration, a legislative, treaty or regulatory proposal, an outline for an oral argument in an international tax case before a Federal Circuit panel. The objective of the exercise will also vary from week to week --for example, a pre-filing conference memo aimed at persuading the IRS National Office international rulings personnel to respond favorably if a request is filed on a cross-border spinoff; the executive summary of a Competent Authority request to resolve a withholding tax interpretative issue under an applicable treaty; strategic analysis and recommendations regarding the most tax effective approach to bring products to the EU or APAC market, to finance an international acquisition or to tax-effect losses incurred in a particular country operations. The seminar's final exercise will involve yet another twist in the company's life cycle.",LAW 058 v06,International Tax and Business Planning Workshop,Limit: Varies by section,"Prerequisite:
Prior or concurrent enrollment in Corporate Income Taxation I (or the JD course, Corporate Taxation (formerly Taxation II)) and a course in international taxation.","Note:
FIRST CLASS ATTENDANCE IS MANDATORY.  Enrolled students must be in attendance at the start of the first class session in order to remain enrolled. Waitlisted students must be in attendance at the start of the first class session in order to remain eligible to be admitted off the waitlist.",,"Mutually Excluded Courses:
Students may not receive credit for both this course and the J.D. course Corporate Transactions, or the J.D. seminar Business Planning Seminar.",Rafic H. Barrage,https://www.law.georgetown.edu/faculty/?redirect=RzAwMDk3NDQ3,Daniel V. Stern,https://www.law.georgetown.edu/faculty/?redirect=RzAwNzU1MDQ2,,,T 7:55pm-9:55pm (1/16 to 4/27)
"This course concentrates on real world civil and criminal tax controversies involving international tax matters facing today’s tax practitioners.  The course begins with an introduction to the U.S. compliance regime, including the obligation to report worldwide income, specified foreign financial assets and international business activity. Students will learn the various international tax reporting obligations, applicable statutes of limitations and tolling provisions, potential civil penalties under the Internal Revenue Code and the Bank Secrecy Act, options for resolving non-compliance, procedures for challenging proposed and assessed penalties, and the risk of criminal investigation and prosecution. The course concludes with study of current international enforcement and litigation trends involving cross-border business transactions and base erosion/profit shifting issues.",LAW 3063 v00,International Tax Controversy,,"Prerequisite:
Federal Income Taxation","Note:
The course may include occasional presentations by guest speakers experienced in the field of international tax.","Recommended:
Prior or concurrent enrollment in Federal Tax Practice & Procedure or any International Tax Course",,Caroline D. Ciraolo,https://www.law.georgetown.edu/faculty/?redirect=RzAwODA2NzU3,Victor Jaramillo,https://www.law.georgetown.edu/faculty/?redirect=RzAwNTk4OTQy,,,M 7:55pm-9:55pm (1/16 to 4/27)
Cancelled section,LAW 244 v01,International Trade,Limit: Varies by section,,,,"Mutually Excluded Courses:
Students may not receive credit for both this course and International Trade and the WTO or International Trade Law or World Trade Organization: Law, Policy and Dispute Settlement; or the graduate course, International Trade Law and Regulation.",Alvaro Santos,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzIyNjI4,,,,,
Cancelled section,LAW 3136 v00,Interstate (State-to-State) Dispute Resolution,,,,,,David M. Bigge,https://www.law.georgetown.edu/faculty/?redirect=RzAwNTE5Mzk5,,,,,
"This class will survey the various forms of alternative dispute resolution (ADR), including negotiation, mediation, arbitration and hybrid approaches. Students will also participate in a number of simulated practical exercises. Grades will be based on written assignments and class participation. ",LAW 1752 v00,Introduction to Alternative Dispute Resolution,Limit: 24,,"Note:
Enrollment for this course is restricted to third and fourth year J.D. students. 
There is a course materials fee for this course, which covers outside vendor materials purchased on behalf of all enrolled students (these materials are distributed as part of the course’s in-class assignments and exercises). This fee will be posted to your student account in January, or as soon as you are enrolled in the course, whichever is later. Students who drop the course will be refunded the amount. Students approved to withdraw will not be refunded.",,,Douglas Emhoff,https://www.law.georgetown.edu/faculty/?redirect=RzAwOTE2Njg1,,,,,W 11:10am-1:10pm (1/16 to 4/27)
"This course will introduce students to a substantive area of American law: contracts. This course exposes students to the major themes in contract law. Specifically, we will cover contract formation, breach of contract, and contract remedies. Focusing exclusively on the common law, this class will familiarize students with the basic concepts of offer, acceptance, consideration, performance, breach, remedies, and third party issues.
Learning objectives:
To understand the fundamental principles of the law of contracts.",LAW 2036 v00,Introduction to Contracts,,,"Note:
This course is only open to foreign-educated LL.M. students (i.e., those students who do not have a U.S. J.D. degree).",,,,,,,,,
"Pearl Harbor fundamentally changed Americans’ sense of security. Together with an existential threat in the form of the Cold War, national security institutions rapidly proliferated. Many focused on the collection of foreign intelligence, with the result that by the 1970s, numerous entities were engaged in collecting information on U.S. citizens. Congress responded by passing the 1978 Foreign Intelligence Surveillance Act (FISA) and creating specialized courts to oversee applications for electronic surveillance. Simultaneously, the Executive Branch issued an Executive Order to provide guidelines for all other intelligence activities. Today, FISA, together with Executive Order 12333, provides a framing for the collection of foreign intelligence. Additional instruments, such as National Security Letters, Administrative Subpoenas, and Sneak and Peak Warrants, play a further role in anticipating and responding to threats.
This course, designed for students new to foreign intelligence collection, provides an overview of the key constitutional questions and jurisprudential distinctions. It addresses the statutory and regulatory framework for classified national security information and nuclear-related materials as well as institutional arrangements that comprise the intelligence community. The course then addresses different tools available to the government to obtain information, before addressing some of the most difficult and timely FI questions.",LAW 1832 v00,Introduction to Foreign Intelligence Law,Limit: Varies by section,"Prerequisite:
Constitutional Law I or Democracy and Coercion.",,,,Laura Donohue,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzY0Nzgy,,,,,M 11:10am-1:10pm (1/16 to 4/27)
